2013-12-10 21:22:29       interwiki.py, 2313 in           oneQuery: INFO     NOTE: Nothing left to do
2013-12-10 21:24:36       wikipedia.py, 5469 in             getall: INFO     Getting 1 page from wiktionary:fr...
2013-12-10 21:24:37       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 21:24:40       interwiki.py, 2173 in               dump: INFO     Dump fr (wiktionary) appended.
2013-12-10 21:26:05       wikipedia.py, 5469 in             getall: INFO     Getting 1 page from wiktionary:fr...
2013-12-10 21:26:07       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 21:26:07       interwiki.py, 1290 in        batchLoaded: INFO     NOTE: [[fr:-autonomouspython interwiki.py]] does not exist. Skipping.
2013-12-10 21:26:07       interwiki.py, 1660 in             finish: INFO     ======Post-processing [[fr:-autonomouspython interwiki.py]]======
2013-12-10 21:26:07       interwiki.py, 1843 in       replaceLinks: INFO     Not editing [[fr:-autonomouspython interwiki.py]]: page does not exist
2013-12-10 21:26:07       interwiki.py, 2092 in    reportBacklinks: WARNING  Page [[fr:-autonomouspython interwiki.py]] does no longer exist?!
2013-12-10 21:27:11       wikipedia.py, 5469 in             getall: INFO     Getting 1 page from wiktionary:fr...
2013-12-10 21:27:13       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 21:27:13       interwiki.py, 1290 in        batchLoaded: INFO     NOTE: [[fr:-autonomouspython interwiki.py]] does not exist. Skipping.
2013-12-10 21:27:13       interwiki.py, 1660 in             finish: INFO     ======Post-processing [[fr:-autonomouspython interwiki.py]]======
2013-12-10 21:27:13       interwiki.py, 1843 in       replaceLinks: INFO     Not editing [[fr:-autonomouspython interwiki.py]]: page does not exist
2013-12-10 21:27:13       interwiki.py, 2092 in    reportBacklinks: WARNING  Page [[fr:-autonomouspython interwiki.py]] does no longer exist?!
2013-12-10 21:31:59       interwiki.py, 2185 in       generateMore: INFO     NOTE: Number of pages queued is 0, trying to add 60 more.
2013-12-10 21:32:06       wikipedia.py, 5469 in             getall: INFO     Getting 60 pages from wiktionary:fr...
2013-12-10 21:32:07       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 21:32:08        throttle.py,  252 in           __call__: INFO     Sleeping for 16.0 seconds, 2013-12-10 21:32:08
2013-12-10 21:32:25       interwiki.py, 2173 in               dump: INFO     Dump fr (wiktionary) appended.
2013-12-10 23:09:40       wikipedia.py, 5469 in             getall: INFO     Getting 1 page from wiktionary:fr...
2013-12-10 23:09:42       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 23:09:42       interwiki.py, 1290 in        batchLoaded: INFO     NOTE: [[fr:Panchen Lama]] does not exist. Skipping.
2013-12-10 23:09:42       interwiki.py, 1660 in             finish: INFO     ======Post-processing [[fr:Panchen Lama]]======
2013-12-10 23:09:42       interwiki.py, 1843 in       replaceLinks: INFO     Not editing [[fr:Panchen Lama]]: page does not exist
2013-12-10 23:09:42       interwiki.py, 2092 in    reportBacklinks: WARNING  Page [[fr:Panchen Lama]] does no longer exist?!
2013-12-10 23:09:50       wikipedia.py, 5469 in             getall: INFO     Getting 1 page from wiktionary:fr...
2013-12-10 23:09:52       wikipedia.py, 5227 in         headerDone: WARNING  Family file wiktionary contains version number 1.22wmf12, but it should be 1.23wmf6
2013-12-10 23:09:52       interwiki.py, 1290 in        batchLoaded: INFO     NOTE: [[fr:panchen Lama]] does not exist. Skipping.
2013-12-10 23:09:52       interwiki.py, 1660 in             finish: INFO     ======Post-processing [[fr:panchen Lama]]======
2013-12-10 23:09:52       interwiki.py, 1843 in       replaceLinks: INFO     Not editing [[fr:panchen Lama]]: page does not exist
2013-12-10 23:09:52       interwiki.py, 2092 in    reportBacklinks: WARNING  Page [[fr:panchen Lama]] does no longer exist?!
