basse mer,N,,,n.f.,Limite inférieure de l'estran,,,laisse de basse mer,,,,,,,,,,,,,,,,,,,,
bichromie,N,,,n.f.,Procédé d'impression utilisant deux couleurs. ,,Édition/impression,,,,,,Document obtenu par ce procédé.,,Édition/impression,,,,,,,,,,,,,
cartouche,,,,n.m.,"Cadre de dimensions réduites, fréquemment orné, entourant le titre et éventuellement d'autres indications, se trouvant sur les cartes anciennes ",,,,,,,,"En cartographie marine, synonyme de carton : Carte complémentaire d'une carte principale, figurant sur la même feuille et souvent établie à une échelle différente. Nota : ce dernier usage est à proscrire.",,,,,,,,,,,,,,,
EDIGéo,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
espace 1D,,,,n.m.,,,,espace unidimensionnel,,,,,,,,,,,,,,,,,,,,
espace 2D,,,,n.m.,,,,espace bidimensionnel,,,,,,,,,,,,,,,,,,,,
espace 2D et demi,,,,n.m.,,,,espace bidimensionnel,,,,,,,,,,,,,,,,,,,,
espace 3D,,,,n.m.,,,,espace tridimensionnel,,,,,,,,,,,,,,,,,,,,
espace 4D,,,,n.m.,,,,espace quadridimensionnel,,,,,,,,,,,,,,,,,,,,
espace cartographique,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
ligne géodésique,,,,n.f.,"Ligne joignant deux points sur une surface, dont la longueur est maximale ou minimale par rapport aux lignes infiniment voisines joignant ces deux points. ",,,,,,,,,,,,,,,,,,,,,,,
MNA,,,,n.m.,,,,,,,,,,,,,,,,,,,,,,,,
photoplan,,,,n.m.,"Image obtenue par assemblage d'épreuves photographiques provenant de clichés anciens à axe vertical, individuellement redressées et mises à l'échelle, soit à l'aide d'un nombre suffisant de points communs identifiables, soit d'après les résultats d'une triangulation photographique",,,,,,,,,,,,,,,,,,,,,,,
